${MART}.,PMART.
PMART.MF_SHOP,dev.mf_mfact_shop
PDATA.DVMOBJECT,dev.m_dvbobj
PDATA.DVSHOPDIST,dev.m_dvbshopdist
PDATA.PAS_PACK_ITEMC,dev.m_psl_des
PDATA.PAS_PACK_ITEMD,dev.m_psl_cat
PDATA.PAS_PACK_ITEMM,dev.m_psl_act
PDATA.PBMCODE,dev.m_code1
PDATA.PAS_PACK_ITEM_SERIES,dev.m_psl_prd
PDATA.PAS_SHASUM,tfmds.psl_sh_mem
PDATA.PAS_SHAFMMEM,tfmds.psl_sh_prd
PDATA.PAS_SHAACCMEM,tfmds.psl_sh_list
pdata.pbmcmdt_vd,dev.m_cmdt_vend
PMART.FACT_MEMBER_PAS_PREACT,dev.psl_member_act
PMART.FACT_MEMBER_CHG,dev.psl_fact_chg
PMART.FACT_MEMBER_ORG,dev.member_fact
PMART.FACT_REMD,dev.fact_remd
PMART.LATEST_ORG_DIM,dev.m_org_hist
PMART.FACT_MEMBER_PAS_FIRSTBUY,tfm.psl_firstpay
PMART.FACT_MEMBER_PAS_FIRSTCHG,tfm.psl_firstchg
PMART.FACT_MEMBER_PAS_GOT,dev.psl_fact_pickup
PMART.MGA_1_5_REMD_DEPT,dev.remd_dept_mga1_5
PMART.ORG_DIM,dev.m_org
PMART.FACT_MEMBER_PAS_REP,dev.psl_rep_fact
PMART.PRD_DIM,dev.m_cmdt_retst
PMART.PRD_LINK_DIM,dev.m_cmdt_link
PMART.REMD_CUST_BUDGET,dev.remd_cust_budget
PMART.REMD_FACT_DEPAMT,dev.remd_fact_depamt
PMART.REMD_FACT_DEPAMT_SUM,dev.remd_fact_depamt_sum
PMART.REMD_FACT_GRP_SUM,dev.remd_fact_grp_sum
PMART.REMD_FACT_MONTH,dev.remd_fact_month
PMART.REMD_FACT_MONTH_SUM,dev.remd_fact_month_sum
PMART.REMD_FACT_NCIG,dev.remd_fact_ncig
PMART.REMD_FACT_STYPE_SUM,dev.remd_fact_stype_sum
PMART.REMD_FACT_SUM,dev.remd_fact_sum
PMART.REMD_FACT_SUM_NCIG,dev.remd_fact_sum_ncig
PMART.REMD_GRP_D,dev.remd_grp_d
PMART.TSC_PRD_STNUM,dev.tsc_prd_stum
PMART.TSC_PRD_STORE_STNUM,dev.tsc_prd_store_stnum
PMART.TSC_REMD_FACT_30D,dev.tsc_remd_fact_30d
PMART.TSC_REMD_FACT_YMWD,dev.tsc_remd_fact_ymwd
PMART.YMWD_TIME,dev.m_date_ymwd
PMART.MEMBER_SEND_PAS,dev.psl_send_member
PMART.MEMBER_SEND_REP,dev.co_send_member
PMART.MEMBER_STOCK_PAS,dev.psl_stock_member
PMART.MEMBER_STOCK_REP,dev.co_stock_member
PMART.PAS_MFACT_DETAIL,dev.psl_fact_dtl
PMART.FACT_CARD_ADD,dev.dm_pay_card_add
PMART.FACT_CARD_POINT_MEMBER,dev.pay_card_member_pnt
PMART.FACT_MEMBER_CARD,dev.member_card_fact
PMART.REMD_FACT,dev.remd_fact
PSTAGE.AC_RMMMDDI,dev.remd_ac
PSTAGE.DS_REMD0300_R6_CHKERR,dev.remd_fact_rep
PSTAGE.DS_REMD0300_R6_I1,dev.stg_remd_fact
PSTAGE.MTMKGRPP,dev.m_kgrp_p
PSTAGE.SHE_SHELF_PRD,dev.m_shelf_prd
PSTAGE.SHE_M_PUBLISH,dev.m_shelf_publish
PSTAGE.SHE_T_PUBLISH_TO_SC,dev.m_shelf_publish_to_sc
PMART.FACT_MEMBER,dev.member_pnt_fact
PSTAGE.DWH_2050,dev.stg_dwh_3050_tx
PSTAGE.DWH_2053,dev.stg_dwh_3053_tx
PSTAGE.DWH_2801,dev.stg_dwh_3101_psl
PSTAGE.DWH_2802,dev.stg_dwh_3102_tx
PSTAGE.DWH_2010,dev.stg_dwh_3110_tx
PSTAGE.DWH_2013,dev.stg_dwh_3113_tx
PSTAGE.DWH_2020,dev.stg_dwh_3120_tx
PSTAGE.DWH_2803,dev.stg_dwh_3203_pay
PSTAGE.DWH_2804,dev.stg_dwh_3204_pay
PSTAGE.DWH_2810,dev.stg_dwh_3210_pay
PSTAGE.DWH_2811,dev.stg_dwh_3211_pay
PSTAGE.DWH_2028,dev.stg_dwh_3228_pay
PSTAGE.DWH_2032,dev.stg_dwh_3231_pay
PSTAGE.DWH_2033,dev.stg_dwh_3232_pay
PSTAGE.DWH_2034,dev.stg_dwh_3234_pay
PSTAGE.DWH_2038,dev.stg_dwh_3237_pay
PSTAGE.DWH_2039,dev.stg_dwh_3238_pay
PSTAGE.DWH_2040,dev.stg_dwh_3240_pay
PSTAGE.DWH_2009,dev.stg_dwh_3301_pin
PSTAGE.DWH_2809,dev.stg_dwh_3309_pnt
PSTAGE.DWH_2011,dev.stg_dwh_3311_tx
PSTAGE.DWH_2910,dev.stg_dwh_3910_ord
PSTAGE.ST_DWH_2050,dev.dwh_3050_tx
PSTAGE.ST_DWH_2053,dev.dwh_3053_tx
PSTAGE.ST_DWH_2801,dev.dwh_3101_psl
PSTAGE.ST_DWH_2802,dev.dwh_3102_tx
PSTAGE.ST_DWH_2010,dev.dwh_3110_tx
PSTAGE.ST_DWH_2013,dev.dwh_3113_tx
PSTAGE.ST_DWH_2020,dev.dwh_3120_tx
PSTAGE.ST_DWH_2803,dev.dwh_3203_pay
PSTAGE.ST_DWH_2804,dev.dwh_3204_pay
PSTAGE.ST_DWH_2810,dev.dwh_3210_pay
PSTAGE.ST_DWH_2811,dev.dwh_3211_pay
PSTAGE.ST_DWH_2028,dev.dwh_3228_pay
PSTAGE.ST_DWH_2032,dev.dwh_3231_pay
PSTAGE.ST_DWH_2033,dev.dwh_3232_pay
PSTAGE.ST_DWH_2034,dev.dwh_3234_pay
PSTAGE.ST_DWH_2038,dev.dwh_3237_pay
PSTAGE.ST_DWH_2039,dev.dwh_3238_pay
PSTAGE.ST_DWH_2040,dev.dwh_3240_pay
PSTAGE.ST_DWH_2009,dev.dwh_3301_pin
PSTAGE.ST_DWH_2809,dev.dwh_3309_pnt
PSTAGE.ST_DWH_2011,dev.dwh_3311_tx
PSTAGE.ST_DWH_2910,dev.dwh_3910_ord
PSTAGE.MTVDISTRM,dev.m_code_distr
PSTAGE.AGHPOST,dev.m_ag_post
PMART.TSC_TRANS_PRD_AGN_L2_IMM,dev.tsc_trans_prd_agn_l2_imm
